frame,t_s,true_angle_deg,n_features,n_rigid_bodies,rb_ids,n_joints,most_likely,prism_p,rev_p,rigid_p,discon_p,rev_joint_value_rad,prism_joint_value_m,rev_pos_x,rev_pos_y,rev_pos_z,rev_ori_x,rev_ori_y,rev_ori_z,rev_pos_world_x,rev_pos_world_y,rev_pos_world_z,rev_ori_world_x,rev_ori_world_y,rev_ori_world_z
66,2.2,30.600000000000005,200,2,0;2,1,JointType.Disconnected,0.048126161098480225,2.0394725197547814e-06,0.0,0.9518718123435974,0.46349082260658886,1.9497394287068963,1.0349300199735059,-1.9389011272140997,3.6970263830593293,0.00621775801613419,-0.9785413454117813,-0.2059567304191676,-1.076422964540264,1.9824845946629601,1.9126203006808287,-0.05466727638488744,0.03988165393267201,0.9977078442972436
67,2.2333333333333334,31.2,200,2,0;2,1,JointType.Disconnected,0.039138082414865494,2.6599186639941763e-06,0.0,0.9608592391014099,0.4733349840743606,1.9628023538902994,1.0404013791941977,-1.9107962313258853,3.6538051578640385,0.005621449918908548,-0.9768292483069466,-0.21394629922692002,-1.0313515509352977,1.9619464164572444,1.8973021361813984,-0.04797163206676058,0.035189406802946285,0.9982286452340005
68,2.2666666666666666,31.8,200,2,0;2,1,JointType.Disconnected,0.0333346389234066,3.309172598164878e-06,0.0,0.9666620492935181,0.48529408352745895,1.9880146009907371,1.0458960822077992,-1.8840763159189375,3.6180435019289794,0.004896252689530291,-0.9752716030459538,-0.22095548647131527,-0.9927552969396012,1.9453015196929155,1.881292193489927,-0.04218821360570907,0.03089170309696844,0.9986319929345984
69,2.3,32.4,200,2,0;2,1,JointType.Disconnected,0.030065463855862617,3.835507413896266e-06,0.0,0.9699307084083557,0.4999606644073636,2.026032439434827,1.0525446834534207,-1.8569225796832356,3.5878010300036802,0.004165117688167203,-0.9739000248568985,-0.22693918431680382,-0.9580272843569095,1.9323101416812927,1.8633666352657208,-0.037298634683634896,0.02712076436805981,0.9989360720240456
70,2.3333333333333335,32.99999999999999,200,2,0;2,1,JointType.Disconnected,0.028765134513378143,4.2186475184280425e-06,0.0,0.9712306261062622,0.5165921826018619,2.072721811842408,1.0609507727482426,-1.8282341026288362,3.561332765757659,0.003523307339799249,-0.9726808495863246,-0.23211969143830705,-0.9251595225278497,1.9224763717476812,1.8429395144120242,-0.03306251364362567,0.023844017610747184,0.999168821078672
71,2.3666666666666667,33.6,200,2,0;2,1,JointType.Disconnected,0.02790524810552597,4.4991479626332875e-06,0.0,0.9720902442932129,0.5342067171846732,2.1235233665483086,1.0711686828666986,-1.7976566943175194,3.537608431702278,0.0029430871097336224,-0.971563574281704,-0.23676055281069178,-0.8931902244093535,1.9152892406633981,1.8199495875486091,-0.02926451325033716,0.020900590480011944,0.9993531675948237
72,2.4,34.199999999999996,200,2,0;2,1,JointType.Disconnected,0.025207841768860817,4.708748292614473e-06,0.0,0.9747874736785889,0.5519320620453587,2.175339531238046,1.0830270935472754,-1.765387188858935,3.5164763643938994,0.002357093079585716,-0.9705407707504956,-0.2409254167232008,-0.862127758584776,1.910554211185099,1.7946274654441479,-0.02588483895973992,0.01820020671428907,0.9994992384127092
73,2.433333333333333,34.8,200,2,0;2,1,JointType.Disconnected,0.019708028063178062,4.879266725765774e-06,0.0,0.9802870750427246,0.5690650039399805,2.2256291220432867,1.0960411344811698,-1.7321584691601495,3.4977983252022193,0.0017287669562038495,-0.9696248632844363,-0.24459075179869186,-0.8322772535557204,1.90788874464871,1.7677160392472844,-0.02296457317959924,0.015724816364288116,0.9996126042267515
74,2.466666666666667,35.4,200,2,0;2,1,JointType.Disconnected,0.013075869530439377,5.020002845412819e-06,0.0,0.986919105052948,0.5853883788572942,2.274205975714075,1.1098626216604723,-1.6988626054480946,3.4818281301449487,0.0011604300572244047,-0.9688998645976304,-0.24745041075895566,-0.8042348472945009,1.907243250297662,1.7400049951227827,-0.02072383156361543,0.013725014777716177,0.9996910256547642
75,2.5,36.0,200,2,0;2,1,JointType.Disconnected,0.007752508856356144,5.14793828187976e-06,0.0,0.9922423362731934,0.6002066124695826,2.317787857539709,1.1240367193551024,-1.666455465967865,3.4679223272141138,0.0005955137318974818,-0.9683072712080951,-0.24976123375922007,-0.777924745983003,1.9080427347268012,1.7125889690882627,-0.018965734564285797,0.012017367443840174,0.9997479101214249
